"","pID","condition","trial","interaction","attempt","elapsedTime","selectedVideos","videos"
"144",18,3,2,"shadowMarkers",1,7799,"scatterplot-16;","scatterplot-12;scatterplot-47;scatterplot-23;scatterplot-68;scatterplot-42;scatterplot-81;scatterplot-89;scatterplot-87;scatterplot-16;"
"145",18,3,2,"smallMultiples",1,20064,"scatterplot-60;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"146",18,3,2,"smallMultiples",2,39050,"scatterplot-57;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"147",18,3,2,"smallMultiples",3,41286,"scatterplot-40;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"148",18,3,2,"smallMultiples",4,44675,"scatterplot-3;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"149",21,6,1,"overlays",1,40342,"scatterplot-97;","scatterplot-41;scatterplot-22;scatterplot-56;scatterplot-97;scatterplot-81;scatterplot-33;scatterplot-88;scatterplot-38;scatterplot-94;"
"150",21,6,1,"smallMultiples",1,30633,"scatterplot-65;","scatterplot-4;scatterplot-61;scatterplot-12;scatterplot-94;scatterplot-95;scatterplot-16;scatterplot-65;scatterplot-44;scatterplot-64;"
"151",21,6,1,"smallMultiples",2,75017,"scatterplot-12;","scatterplot-4;scatterplot-61;scatterplot-12;scatterplot-94;scatterplot-95;scatterplot-16;scatterplot-65;scatterplot-44;scatterplot-64;"
"152",21,6,1,"smallMultiples",3,81183,"scatterplot-16;","scatterplot-4;scatterplot-61;scatterplot-12;scatterplot-94;scatterplot-95;scatterplot-16;scatterplot-65;scatterplot-44;scatterplot-64;"
"153",21,6,2,"overlays",1,27593,"scatterplot-44;","scatterplot-30;scatterplot-44;scatterplot-24;scatterplot-94;scatterplot-95;scatterplot-47;scatterplot-68;scatterplot-76;scatterplot-41;"
"154",21,6,2,"overlays",2,84499,"scatterplot-76;","scatterplot-30;scatterplot-44;scatterplot-24;scatterplot-94;scatterplot-95;scatterplot-47;scatterplot-68;scatterplot-76;scatterplot-41;"
"155",21,6,2,"shadowMarkers",1,23855,"scatterplot-13;","scatterplot-61;scatterplot-47;scatterplot-64;scatterplot-69;scatterplot-29;scatterplot-88;scatterplot-13;scatterplot-78;scatterplot-23;"
"156",21,6,2,"smallMultiples",1,62247,"scatterplot-82;","scatterplot-78;scatterplot-81;scatterplot-82;scatterplot-35;scatterplot-58;scatterplot-25;scatterplot-61;scatterplot-68;scatterplot-46;"
"157",21,6,2,"smallMultiples",2,76396,"scatterplot-25;","scatterplot-78;scatterplot-81;scatterplot-82;scatterplot-35;scatterplot-58;scatterplot-25;scatterplot-61;scatterplot-68;scatterplot-46;"
"158",21,6,2,"smallMultiples",3,79724,"scatterplot-46;","scatterplot-78;scatterplot-81;scatterplot-82;scatterplot-35;scatterplot-58;scatterplot-25;scatterplot-61;scatterplot-68;scatterplot-46;"
"159",24,3,1,"overlays",1,74965,"scatterplot-27;","scatterplot-88;scatterplot-77;scatterplot-57;scatterplot-6;scatterplot-97;scatterplot-27;scatterplot-4;scatterplot-33;scatterplot-61;"
"160",24,3,1,"shadowMarkers",1,21262,"scatterplot-15;","scatterplot-41;scatterplot-88;scatterplot-72;scatterplot-75;scatterplot-6;scatterplot-15;scatterplot-56;scatterplot-65;scatterplot-30;"
"161",24,3,1,"smallMultiples",1,15316,"scatterplot-18;","scatterplot-69;scatterplot-56;scatterplot-58;scatterplot-18;scatterplot-90;scatterplot-4;scatterplot-6;scatterplot-85;scatterplot-28;"
"162",24,3,2,"overlays",1,64895,"scatterplot-36;","scatterplot-44;scatterplot-42;scatterplot-17;scatterplot-54;scatterplot-94;scatterplot-64;scatterplot-3;scatterplot-36;scatterplot-58;"
"163",24,3,2,"overlays",2,84274,"scatterplot-54;","scatterplot-44;scatterplot-42;scatterplot-17;scatterplot-54;scatterplot-94;scatterplot-64;scatterplot-3;scatterplot-36;scatterplot-58;"
